state,county,less_than_high_school_diploma_2015-19,high_school_diploma_only_2015-19,some_college_or_associate_ degree_2015-19,bachelor_degree_or_higher_2015-19
GA,Towns County,855,2537,2541,2551
GA,Treutlen County,1237,1923,965,583
GA,Troup County,7589,16060,13380,8691
GA,Turner County,1046,2116,1751,650
GA,Twiggs County,1594,2377,1478,726
GA,Union County,1988,6173,5899,4087
GA,Upson County,3177,6884,5474,2394
GA,Walker County,8749,17105,14622,8070
GA,Walton County,7982,21932,17745,13234
GA,Ware County,4555,9600,6613,3710
GA,Warren County,1045,1550,823,481
GA,Washington County,2672,6374,3464,1762
GA,Wayne County,3328,8405,5698,2595
GA,Webster County,389,763,449,275
GA,Wheeler County,1039,2739,911,735
GA,White County,3103,6482,6612,4769
GA,Whitfield County,20504,19772,16324,10556
GA,Wilcox County,1138,2900,1553,775
GA,Wilkes County,1130,3048,1796,954
GA,Wilkinson County,973,3142,1454,678
GA,Worth County,2434,6072,4155,1562
HI,Hawaii,79721,271648,314170,327466
HI,Hawaii County,10886,42737,46398,41656
HI,Honolulu County,55514,176669,211147,238767
HI,Kalawao County,6,17,24,15
HI,Kauai County,3842,15313,16988,14909
HI,Maui County,9473,36912,39613,32119
ID,Idaho,102929,305181,399909,307537
ID,Ada County,14898,68859,105494,118604
ID,Adams County,313,1119,1098,679
ID,Bannock County,4095,14352,20715,15104
ID,Bear Lake County,258,1527,1441,750
ID,Benewah County,807,2491,2198,987
ID,Bingham County,2988,8627,10080,5848
ID,Blaine County,1796,4052,4402,5609
ID,Boise County,327,1756,2104,1560
ID,Bonner County,2955,9615,12004,7687
ID,Bonneville County,5575,17620,24392,21686
ID,Boundary County,670,3480,2390,1616
ID,Butte County,138,689,776,309
ID,Camas County,49,316,248,119
ID,Canyon County,19948,42930,46038,24974
ID,Caribou County,387,1425,1755,837
ID,Cassia County,2293,4166,4934,2600
ID,Clark County,221,154,108,67
ID,Clearwater County,649,2402,2512,1211
ID,Custer County,339,913,1164,779
ID,Elmore County,1689,4486,7449,3140
ID,Franklin County,769,3003,2766,1409
ID,Fremont County,1130,2538,2919,1825
ID,Gem County,1458,4420,3992,2092
ID,Gooding County,2040,3413,2616,1672
ID,Idaho County,1147,4369,4191,2393
ID,Jefferson County,1619,4191,6574,4060
ID,Jerome County,3284,4415,4390,2322
